
  0%|                                                                                                                                                                                                                                                          | 0/9000 [00:00<?, ?it/s]
0.0004
time for getitem:  0.0005068778991699219
time for getitem:  0.0006008148193359375
time for getitem:  0.0006988048553466797
time for getitem:  0.0006620883941650391
time for getitem:  0.0011420249938964844
time for getitem:  0.0006389617919921875
time for getitem:  0.00036644935607910156
time for getitem:  0.0013630390167236328
time for getitem:  0.0007333755493164062
time for getitem:  0.00047659873962402344
time for getitem:  0.0007088184356689453
time for getitem:  0.0005259513854980469
time for getitem:  0.0006108283996582031
time for getitem:  0.0008008480072021484
time for getitem:  0.0008542537689208984
time for getitem:  0.0004737377166748047
time for getitem:  0.0004589557647705078
time for getitem:  0.0004699230194091797
time for getitem:  0.0007567405700683594
time for getitem:  0.0006730556488037109
time for getitem:  0.0005006790161132812
time for getitem:  0.0007879734039306641
time for getitem:  0.000690460205078125
time for getitem:  0.00037980079650878906
time for getitem:  0.0005860328674316406
time for getitem:  0.0005960464477539062
time for getitem:  0.0005707740783691406
time for getitem:  0.0004932880401611328
time for getitem:  0.0006530284881591797
time for getitem:  0.0004754066467285156
time for getitem:  0.00039458274841308594
time for getitem:  0.002140045166015625
time for getitem:  0.000400543212890625
time for getitem:  0.0006902217864990234
time for getitem:  0.0007688999176025391
time for getitem:  0.002148866653442383
time for getitem:  0.0007536411285400391
time for getitem:  0.0005080699920654297
time for getitem:  0.0006167888641357422
time for getitem:  0.0007350444793701172
time for getitem:  0.0007386207580566406
time for getitem:  0.0010950565338134766
time for getitem:  0.0007073879241943359
time for getitem:  0.0009188652038574219
time for getitem:  0.0007686614990234375
time for getitem:  0.0010728836059570312
time for getitem:  0.0005817413330078125
time for getitem:  0.0007071495056152344
time for getitem:  0.0005049705505371094
time for getitem:  0.0006096363067626953
time for getitem:  0.0005338191986083984
time for getitem:  0.0010335445404052734
time for getitem:  0.0005424022674560547
time for getitem:  0.0004000663757324219
time for getitem:  0.00041484832763671875
time for getitem:  0.0007359981536865234
time for getitem:  0.0007612705230712891
time for getitem:  0.0004706382751464844
time for getitem:  0.0008218288421630859
time for getitem:  0.0008459091186523438
time for getitem:  0.0006051063537597656
time for getitem:  0.0007433891296386719
time for getitem:  0.0004363059997558594
time for getitem:  0.0007448196411132812
time for getitem:  0.0013835430145263672
time for getitem:  0.0005667209625244141
time for getitem:  0.0005352497100830078
time for getitem:  0.0006656646728515625
time for getitem:  0.0007505416870117188
time for getitem:  0.0006449222564697266
time for getitem:  0.0008511543273925781
time for getitem:  0.0006494522094726562
time for getitem:  0.0005908012390136719
time for getitem:  0.0005962848663330078
time for getitem:  0.0003330707550048828
time for getitem:  0.00048279762268066406
time for getitem:  0.0005326271057128906
time for getitem:  0.0007843971252441406
time for getitem:  0.0007171630859375
time for getitem:  0.0007283687591552734
time for getitem:  0.0007114410400390625
time for getitem:  0.0006344318389892578
time for getitem:  0.00034880638122558594
time for getitem:  0.0010581016540527344
time for getitem:  0.0007195472717285156
time for getitem:  0.00047016143798828125
time for getitem:  0.0009925365447998047
time for getitem:  0.0005922317504882812
